ISIN_First2,Unnamed: 1,Unnamed: 2,ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
CH,SWITZERLAND,EUR,CH0012255151,THE SWATCH GROUP,105.42,115.68,84.61,78.83,114.87,141.58,144.26,217.84,300.65,138.7,262.63,469.36,399.32,543.21,723.35,494.76,395.13,360.59,480.32,347.93,343.59,347.04,393.64,373.99
CH,SWITZERLAND,EUR,CH0012268360,KUDELSKI 'B',8778.12,16429.36,8641.35,2005.73,4885.4,5436.98,4403.52,5641.33,3008.56,1625.3,3529.17,3388.33,1462.0,1700.24,2540.9,2065.53,2511.05,3074.4,2235.06,1044.59,1101.27,744.77,792.5,514.85
CH,SWITZERLAND,EUR,CH0012410517,BALOISE HOLDING,5165.98,7364.46,6294.85,2766.95,2936.12,3284.43,4213.94,7393.74,7513.59,5851.41,6951.58,8576.1,6345.18,8445.17,13187.41,13882.26,14354.14,14832.16,18954.48,17326.05,23589.04,24267.17,23247.47,22849.6
CH,SWITZERLAND,EUR,CH0012549785,SONOVA N,326.66,797.9,442.74,182.94,427.72,649.31,850.95,1584.75,2267.47,1210.05,2490.61,2681.1,2208.52,2358.49,2917.05,3240.15,2830.96,2750.94,3588.85,3799.33,5401.33,6144.33,9363.03,5739.96
CH,SWITZERLAND,EUR,CH0013841017,LONZA GROUP,67.19,65.33,74.59,70.53,68.47,68.38,75.38,108.17,154.16,117.94,92.46,107.5,81.75,77.89,142.42,173.4,255.09,275.75,469.88,454.03,646.68,1148.35,1499.63,883.71
CH,SWITZERLAND,EUR,CH0014786500,VALIANT 'R',93.19,99.56,123.59,167.53,213.99,265.36,260.43,338.33,482.16,585.57,622.4,454.78,422.84,325.21,319.28,305.37,450.34,394.58,442.01,463.78,448.05,457.05,492.1,560.44
CH,SWITZERLAND,EUR,CH0014852781,SWISS LIFE HOLDING,302.13,440.37,231.06,58.9,138.74,123.04,155.86,219.87,225.15,65.18,128.2,148.98,98.32,147.93,239.45,280.58,328.95,356.16,459.79,518.21,700.96,690.04,950.37,833.29
CH,SWITZERLAND,EUR,CH0024638212,SCHINDLER 'R',905.17,914.81,849.84,1148.48,1693.88,2591.81,2482.47,3973.42,4187.5,2933.22,5223.0,8462.55,8469.07,10486.74,11120.69,10972.58,13166.92,13865.92,18396.27,16039.59,20729.63,23311.51,23537.24,16138.8
CH,SWITZERLAND,EUR,CH0025238863,KUEHNE UND NAGEL INTERNATIONAL,113.4,190.78,160.33,204.65,426.25,738.56,980.87,1281.2,1712.89,1198.19,1887.77,2770.04,2311.26,2553.0,2888.29,3136.91,3339.16,3334.1,4619.88,3470.06,4765.2,6572.7,9499.67,7095.8
CH,SWITZERLAND,EUR,CH0025751329,LOGITECH 'R',182.17,327.9,474.21,386.64,560.63,792.1,1214.44,1492.78,1901.24,797.31,899.19,990.01,406.65,428.3,799.92,800.94,945.09,1575.99,2165.95,2042.62,3136.46,6520.71,5716.35,4268.76
CH,SWITZERLAND,EUR,CH0030170408,GEBERIT 'R',103.17,86.52,70.27,92.48,163.02,247.76,274.56,544.7,495.45,395.64,690.03,934.07,803.03,944.92,1345.35,1546.14,1578.07,1909.07,2142.49,1934.35,2872.07,3300.36,4385.27,2581.68
CH,SWITZERLAND,EUR,CH0038388911,SULZER 'R',687.95,781.82,169.93,150.43,308.25,463.69,627.03,1367.57,1794.99,703.55,1022.38,2042.57,1464.76,2201.4,2307.89,1563.62,1426.3,1921.56,2330.54,1563.38,2278.89,2285.19,3305.83,2733.2
CH,SWITZERLAND,EUR,CH0038863350,NESTLE 'N',1817.89,2358.06,2188.15,2211.73,2673.02,2859.81,3341.35,4068.89,5382.1,4690.06,6045.48,7540.77,7676.33,8959.06,10418.7,10752.17,11231.4,11187.57,13792.85,13392.2,18365.46,20538.6,24984.31,21152.68
CH,SWITZERLAND,EUR,CH0044328745,CHUBB,194.48,502.98,484.22,361.22,521.0,548.42,698.99,806.72,837.53,729.61,716.13,905.29,1036.52,1218.29,1606.51,1838.93,1916.87,2215.08,2498.79,2258.1,2775.72,2815.01,3599.94,4175.93
CH,SWITZERLAND,EUR,CH0048265513,TRANSOCEAN,317.29,434.36,320.39,220.19,227.88,402.32,661.42,767.72,1276.3,421.27,738.23,619.74,357.67,422.79,483.51,193.73,139.04,165.55,119.95,77.94,77.27,25.94,31.0,51.21
CH,SWITZERLAND,EUR,CH0126881561,SWISS RE,3339.07,3976.56,3392.56,2246.05,2339.85,2505.41,2618.52,3128.4,2696.75,1878.67,1931.6,2200.03,2202.62,3267.61,4616.31,4668.98,5894.31,6003.48,6250.6,6425.59,8340.41,7592.8,8538.06,8633.1
CH,SWITZERLAND,EUR,CH0210483332,RICHEMONT N,517.46,587.23,413.7,424.3,556.16,784.88,1054.55,1454.11,1765.06,1146.71,2043.16,3616.97,3145.3,4870.15,6300.97,5735.68,4719.99,4477.89,6241.83,4508.34,5690.37,6662.98,11285.67,10046.51
CH,SWITZERLAND,EUR,CH0244767585,UBS GROUP,1149.56,1460.37,1354.78,1340.18,1945.59,2448.71,2858.09,3750.8,2945.74,997.77,1111.12,1178.55,855.62,1125.39,1385.67,1269.97,1495.96,1274.16,1547.59,1085.69,1164.85,1383.53,1809.22,1918.64
CH,SWITZERLAND,EUR,CH0319416936,FLUGHAFEN ZURICH,257.76,230.35,77.24,44.31,74.89,184.2,255.04,448.15,588.56,342.99,449.23,624.21,541.14,737.01,956.65,1114.26,1273.58,1628.2,2063.55,1534.62,1768.29,1711.36,1745.34,1498.9
CH,SWITZERLAND,EUR,CH0418792922,SIKA,1265.8,1142.4,912.2,1094.26,1896.71,2695.7,3793.24,7203.12,8892.52,4092.29,7917.23,11412.62,10068.07,12551.23,19891.86,16753.05,20939.99,28444.37,47656.67,46181.46,69583.81,102802.27,158253.6,91713.96
CH,SWITZERLAND,EUR,CH1169151003,GEORG FISCHER,316.2,268.18,185.0,100.98,200.63,263.64,355.88,695.51,680.15,263.51,304.03,679.52,421.68,511.67,931.56,857.13,941.45,1165.6,1919.52,1180.15,1537.62,2025.51,2415.08,1979.18
CH,SWITZERLAND,EUR,CH1175448666,STRAUMANN HLDG.,139.77,431.74,367.58,401.81,755.5,1034.2,1160.21,1223.8,1408.8,901.41,1494.94,1230.33,944.17,683.24,1080.56,1484.54,1818.02,2361.32,4304.1,3849.15,6064.11,7265.28,13297.31,7175.3
CH,SWITZERLAND,EUR,CH1256740924,SGS 'N',219.8,222.79,117.49,222.94,472.02,533.66,649.39,896.48,973.32,866.59,1141.43,1530.64,1577.64,2180.08,2329.57,2142.2,2059.36,2273.73,3004.97,2665.01,3357.19,3833.75,4370.52,3131.42
DE,GERMANY,EUR,DE0005089031,UNITED INTERNET,372.88,101.46,97.79,172.74,626.43,713.14,1013.67,1760.42,2615.75,942.98,1441.79,1833.46,2073.68,2549.9,5114.15,5515.25,6814.9,4893.01,8762.56,5640.71,4257.28,5578.7,5281.38,2746.29
DE,GERMANY,EUR,DE0005140008,DEUTSCHE BANK,1520.87,1528.5,1312.62,871.04,1607.51,1756.37,1966.51,2800.37,2832.56,899.66,1657.78,1362.71,1007.99,1184.67,1328.51,910.27,752.97,558.54,661.47,280.01,277.58,392.9,448.44,414.27
DE,GERMANY,EUR,DE0005190003,BMW,4079.75,4443.47,4844.23,4224.52,6598.08,6485.99,6397.92,8564.91,9437.66,4748.66,7225.48,12495.05,10839.74,16181.99,20474.32,19509.84,19609.41,17984.94,20874.32,16832.34,18082.14,20601.81,23804.76,22679.32
DE,GERMANY,EUR,DE0005200000,BEIERSDORF,2242.56,3509.34,3838.89,3832.95,4274.55,4144.95,4433.38,7136.43,8600.11,6601.15,7678.25,6592.68,6770.8,9891.72,12458.3,10154.12,11491.52,10742.67,14920.66,13334.25,15398.62,15063.44,13502.93,15123.56
DE,GERMANY,EUR,DE0005408884,LEONI DEAD - DELIST.21/08/23,243.88,244.43,204.6,308.69,612.75,739.22,1050.63,1378.09,1706.74,642.14,846.23,1591.28,1225.38,1455.22,3031.73,2464.66,1668.85,1558.63,3290.51,1563.3,533.38,368.57,503.45,265.22
DE,GERMANY,EUR,DE0005439004,CONTINENTAL,648.21,529.1,451.22,528.15,1345.46,2279.9,3215.47,4277.97,4867.01,1525.71,2024.29,3110.19,2471.82,4677.57,9128.24,8968.11,10454.98,8451.82,12063.77,6234.07,6079.39,7308.15,5745.2,3378.81
DE,GERMANY,EUR,DE0005557508,DEUTSCHE TELEKOM,513.66,220.6,129.7,99.23,141.93,175.03,133.78,155.42,196.99,143.02,155.32,146.91,139.46,149.43,243.65,237.84,275.54,270.11,288.94,288.44,292.95,341.92,354.84,398.56
DE,GERMANY,EUR,DE0005785604,FRESENIUS,721.9,1057.47,726.3,386.73,872.08,1094.8,1401.26,2262.25,2837.51,1729.74,2201.77,3039.97,3364.7,4208.38,5725.06,5864.62,8119.45,8943.72,8979.81,5629.08,6630.45,5643.59,4965.81,3542.8
DE,GERMANY,EUR,DE0005785802,FRESENIUS MED.CARE,132.49,128.14,97.98,67.39,117.08,134.31,178.52,229.82,278.63,248.66,288.2,322.22,380.41,389.63,409.02,432.62,498.87,506.55,634.32,392.07,454.02,529.15,418.78,216.7
DE,GERMANY,EUR,DE0005909006,BILFINGER BERGER,819.09,474.74,883.86,621.42,1463.88,1816.79,2175.37,3406.21,3599.79,2452.63,4310.06,4854.33,5122.49,6075.1,7393.49,3841.6,3383.64,2733.82,3509.49,2198.0,3030.05,2464.78,2839.55,2853.36
DE,GERMANY,EUR,DE0006047004,HEIDELBERG MATERIALS,985.39,583.95,607.31,497.51,705.16,1027.85,1558.1,2593.16,2783.66,805.48,1352.33,1242.17,850.03,1207.73,1540.8,1458.09,1699.72,1966.89,2324.35,1329.73,1649.4,1727.58,1603.25,1405.89
DE,GERMANY,EUR,DE0006048432,HENKEL PREFERENCE,449.26,456.33,395.73,453.17,570.96,645.42,758.28,1128.8,1307.34,758.44,1268.22,1552.37,1456.68,2088.97,3005.72,2847.67,2987.13,3230.86,3615.55,3048.22,2924.96,3283.05,2394.43,2121.58
DE,GERMANY,EUR,DE0006070006,HOCHTIEF,2136.78,1160.89,861.06,852.45,1886.63,2197.44,3100.15,5125.1,9498.63,3622.78,5772.43,6579.97,4619.6,4622.82,7016.48,5910.58,8068.67,12342.86,15554.79,12028.72,12135.29,9995.16,8650.55,6224.04
DE,GERMANY,EUR,DE0006202005,SALZGITTER,234.9,217.02,232.54,179.82,327.66,591.79,1675.5,4162.47,4755.02,2512.85,3303.75,2575.48,1700.84,1785.39,1478.73,992.62,869.62,1251.89,2047.76,1040.13,828.8,976.04,1337.03,1166.69
DE,GERMANY,EUR,DE0006569908,MLP,3500.62,5870.74,3949.66,548.62,1071.64,1091.55,1160.4,1149.47,936.2,848.3,734.83,677.54,463.55,518.15,595.03,382.62,353.43,401.92,620.12,480.6,641.11,696.34,1035.75,605.44
DE,GERMANY,EUR,DE0006599905,MERCK KGAA,113.83,166.94,141.44,104.76,172.35,290.01,356.61,453.39,584.89,418.75,443.33,392.44,495.39,661.38,915.61,988.29,1024.13,1113.58,1157.5,1125.48,1299.7,1906.1,2931.58,2215.56
DE,GERMANY,EUR,DE0006602006,GEA GROUP,139.47,84.49,60.82,46.11,106.97,90.35,94.36,172.25,262.91,132.88,180.12,238.21,232.95,274.83,416.79,394.52,366.95,370.51,449.45,248.72,330.54,373.46,580.2,438.32
DE,GERMANY,EUR,DE0006969603,PUMA,52.2,35.95,93.26,210.44,550.26,853.8,914.62,1234.51,1257.59,630.31,1099.56,1095.36,961.74,993.86,1088.67,705.9,732.12,891.33,1490.67,1680.3,2702.72,3979.11,4318.34,2159.05
DE,GERMANY,EUR,DE0007030009,RHEINMETALL,546.54,333.55,720.7,602.54,1187.97,2221.15,2665.24,3269.39,3509.35,1419.32,3002.44,3797.39,2158.8,2431.58,3286.45,2378.05,3620.69,3711.42,7132.04,5047.85,6685.48,6443.54,5821.59,12595.82
DE,GERMANY,EUR,DE0007037129,RWE,1846.13,2143.39,1866.61,1301.89,2106.54,3010.07,4142.73,6348.82,8490.88,5524.37,6666.8,4823.9,2726.68,3398.04,3271.66,2866.31,1225.74,1198.22,1965.47,2223.51,3275.93,4640.7,4578.1,5131.22
DE,GERMANY,EUR,DE0007042301,RHOEN-KLINIKUM,695.37,1074.66,1004.51,659.27,1106.08,1235.65,1552.88,1975.09,2620.15,2071.07,2202.8,2010.92,1796.73,1916.32,2843.97,2748.41,3010.67,2824.56,3795.85,2683.45,2117.64,2168.9,1766.58,1737.08
DE,GERMANY,EUR,DE0007100000,MERCEDES-BENZ GROUP N,116.45,66.19,69.8,50.84,81.84,87.49,97.02,122.0,195.45,77.01,114.66,146.87,97.74,128.05,214.66,214.72,222.01,206.3,245.89,159.98,180.73,238.9,313.22,288.45
