ISIN_First2,Unnamed: 1,Unnamed: 2,ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
ES,SPAIN,EUR,ES0130960018,ENAGAS,,,,,,48.65,41.93,43.19,49.67,69.96,64.98,71.95,64.49,73.52,76.32,74.41,79.32,75.52,75.04,80.05,79.0,81.84,79.83,
ES,SPAIN,EUR,ES0132105018,ACERINOX 'R',,,,9.99,17.26,5.6,11.35,9.62,25.17,28.57,32.52,32.74,44.25,50.83,43.86,37.56,39.52,52.01,55.01,66.11,67.75,72.56,81.21,79.31
ES,SPAIN,EUR,ES0134950F36,FAES FARMA,,,,,,9.62,8.11,7.65,4.84,2.07,2.96,2.96,1.81,1.46,0.63,1.35,0.69,0.99,21.2,22.29,33.89,57.26,56.63,
ES,SPAIN,EUR,ES0144580Y14,IBERDROLA,,,,48.35,57.52,49.49,69.86,91.85,82.14,86.46,90.31,83.71,86.89,83.97,84.53,87.25,90.19,84.95,89.77,85.5,85.99,84.76,83.75,82.0
ES,SPAIN,EUR,ES0148396007,INDITEX,,,,62.64,62.08,71.39,55.67,60.24,57.92,71.37,79.23,76.51,69.15,85.09,89.87,87.02,89.54,87.86,77.17,84.36,79.66,82.05,82.87,77.48
ES,SPAIN,EUR,ES0152503035,MEDIASET ESPANA COMUNICACION,,,,,,22.37,33.84,48.02,66.24,69.38,57.26,59.56,54.43,57.72,60.86,56.84,56.73,57.22,63.23,70.56,70.7,66.95,60.79,
ES,SPAIN,EUR,ES0161560018,NH HOTEL GR,,,,24.46,27.36,26.25,28.03,41.4,40.77,64.5,67.04,76.69,75.58,70.95,71.11,76.8,68.58,77.95,85.6,89.73,88.58,90.2,90.86,88.97
ES,SPAIN,EUR,ES0167050915,ACS ACTIV.CONSTR.Y SERV.,,,,38.94,41.99,47.5,35.65,62.12,65.74,64.72,62.76,63.21,70.14,62.82,57.69,59.27,63.33,61.73,63.93,64.32,67.03,70.98,68.17,
ES,SPAIN,EUR,ES0171743901,PROMOTORA DE INFIC. 'A' (GRUPO PRISA),,,,29.75,26.81,20.53,13.45,24.62,43.4,52.18,50.53,55.13,55.56,52.64,62.26,66.31,72.79,65.11,54.95,56.21,58.92,69.53,63.75,80.09
ES,SPAIN,EUR,ES0171996087,GRIFOLS ORD CL A,,,,,,,,29.84,27.53,30.86,34.36,47.04,38.45,43.99,43.78,57.32,53.05,56.73,59.37,66.09,73.52,72.74,71.07,
ES,SPAIN,EUR,ES0173093024,REDEIA CORPORACION,,,,,,50.24,57.39,50.13,75.26,74.88,67.37,68.87,67.6,63.56,64.2,70.02,73.08,81.44,76.95,71.61,75.34,73.41,79.07,80.66
ES,SPAIN,EUR,ES0173516115,REPSOL YPF,,,,,,,67.33,65.16,71.43,83.25,85.49,78.52,82.24,73.75,74.8,73.92,75.99,76.2,77.17,84.13,87.72,82.84,85.26,
ES,SPAIN,EUR,ES0178430E18,TELEFONICA,,,,66.64,57.25,68.88,74.35,80.16,73.74,79.76,85.83,81.52,86.14,81.55,87.91,86.02,86.84,85.44,82.25,85.58,81.69,78.68,79.07,80.3
ES,SPAIN,EUR,ES0182870214,SACYR,,,,,,,17.67,10.41,51.19,64.68,58.96,56.65,60.07,59.87,66.33,60.23,56.2,51.95,53.37,57.95,59.62,73.89,79.79,
ES,SPAIN,EUR,ES0184933812,ZARDOYA OTIS DEAD - DELIST.09/05/22,,,,,,15.92,36.33,37.08,42.02,34.81,46.29,45.45,42.88,33.13,27.57,33.68,23.66,26.89,29.89,30.75,39.4,46.67,50.75,
