ISIN_First2,Unnamed: 1,Unnamed: 2,ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
PT,PORTUGAL ,EUR,PTSON0AM0001,SONAE SGPS,2878.63,2253.25,1442.47,839.47,1664.97,2908.67,2783.8,3982.26,5789.5,1214.94,2496.4,2092.78,1191.69,1811.54,2891.04,2478.2,2276.97,1843.7,2704.13,1851.85,2043.0,1618.77,2281.22,1995.8
PT,PORTUGAL ,EUR,PTZON0AM0006,NOS SGPS,4525.96,1986.85,1089.68,1649.65,3047.65,3943.03,3518.42,3978.01,4315.61,1594.08,1923.75,1405.7,931.7,1210.35,3833.42,3263.98,4055.14,3063.5,3390.49,3118.17,2775.76,1801.48,1997.71,2080.51
SE,SWEDEN ,EUR,SE0000106270,HENNES & MAURITZ B,24364.38,11300.79,15108.43,14081.44,17356.89,25442.18,24777.09,36927.76,44465.31,28214.23,40648.76,48668.59,47152.69,50407.16,67364.02,60753.91,52341.41,40742.96,30203.67,20762.1,29722.08,30591.51,28730.01,15734.47
SE,SWEDEN ,EUR,SE0000108227,SKF B,1564.81,975.33,1268.26,2112.69,3531.65,4315.25,5668.66,7498.97,6876.05,3981.73,7096.18,11697.35,8758.98,10353.31,10947.76,8798.81,6819.69,7730.99,9353.04,6399.52,8556.27,11016.9,10065.32,6506.0
SE,SWEDEN ,EUR,SE0000108656,ERICSSON B,114782.13,82645.03,40261.32,10723.79,27746.15,47595.63,50848.3,59896.22,34815.74,22192.01,27795.77,35008.47,30927.24,30454.25,37196.67,36679.18,29708.62,18075.89,20207.49,27002.59,26768.97,36527.91,33863.5,17957.51
SE,SWEDEN ,EUR,SE0000111940,RATOS B,502.97,499.67,526.08,646.88,926.91,1283.6,1464.01,2826.37,3241.07,2031.84,3096.88,4435.18,2821.15,2300.99,2168.46,1440.1,1387.2,1137.33,1048.41,628.89,855.06,1122.19,1532.97,960.69
SE,SWEDEN ,EUR,SE0000112724,SVENSKA CELLULOSA AKTIEBOLAGET SCA B,4960.51,3585.23,5097.86,6421.99,7787.13,8302.25,7336.42,10312.89,10491.36,5015.29,8048.65,9536.62,9054.13,13260.93,19042.67,13356.7,18644.62,18141.06,6585.93,4943.29,6472.24,11128.06,11323.3,8076.42
SE,SWEDEN ,EUR,SE0000113250,SKANSKA B,3887.07,4330.63,2498.41,2240.92,3378.93,4680.48,6020.52,7813.31,7476.62,3881.76,6795.44,7918.9,6650.56,6529.18,8183.2,8579.24,7819.99,9472.51,8308.43,6364.18,9050.51,10219.16,10353.24,6338.2
SE,SWEDEN ,EUR,SE0000114837,TRELLEBORG B,943.3,674.61,603.25,656.24,1318.86,1470.54,1722.31,1937.84,1695.16,492.83,1826.06,2565.41,2114.22,3003.51,4830.6,4090.26,4741.76,4787.55,5629.16,3812.65,4367.63,5390.42,6371.18,5605.94
SE,SWEDEN ,EUR,SE0000148884,SKANDINAVISKA ENSKILDA BANKEN A,6795.64,7426.55,6134.24,5606.27,9926.12,13028.79,13842.11,21073.15,16977.27,5093.27,13475.84,18108.15,12690.29,18429.72,28651.64,27595.72,23011.39,22823.77,25523.48,21073.95,20418.21,22327.48,30163.69,24803.48
SE,SWEDEN ,EUR,SE0000163594,SECURITAS B,6114.11,6290.66,6521.37,4122.35,4690.26,5968.43,5770.48,5402.04,4844.74,2826.71,3413.34,4070.25,3014.62,3032.36,3702.57,4197.72,5364.88,5491.83,6085.1,5582.21,6000.53,5623.78,4789.99,4560.63
SE,SWEDEN ,EUR,SE0000163628,ELEKTA B,67.47,76.31,247.07,310.67,596.01,875.46,1353.02,1900.37,1478.92,874.42,2123.72,3486.79,3971.42,5744.68,5644.09,3752.54,3152.15,3270.08,3050.0,4379.81,4856.88,4957.09,4663.42,2221.53
SE,SWEDEN ,EUR,SE0000171100,SSAB A,1265.7,781.35,728.19,880.92,1330.89,1794.26,2441.36,4573.96,6556.33,2070.32,4117.25,4046.89,2130.09,2092.91,1848.13,1772.67,815.79,1157.85,1668.14,1046.1,1067.45,1085.23,1761.84,1662.28
SE,SWEDEN ,EUR,SE0000190126,INDUSTRIVARDEN A,2706.04,2715.04,1974.72,1541.0,2258.02,3424.83,3661.11,5337.18,4705.58,1944.15,3319.19,4789.47,3413.76,4577.71,5493.88,4892.17,5054.76,5319.65,6931.05,5541.62,6646.56,8918.26,8307.38,6344.93
SE,SWEDEN ,EUR,SE0000202624,GETINGE B,476.28,505.34,772.19,962.04,1806.42,2345.66,2591.76,4225.51,5056.73,2629.35,4245.17,4660.81,5657.45,7520.52,7617.55,5050.93,5869.14,3576.4,3693.95,2290.45,4724.11,5944.85,11090.96,5275.97
SE,SWEDEN ,EUR,SE0000242455,SWEDBANK A,7722.79,8083.1,6541.19,6239.2,10379.74,13144.83,14358.14,18715.54,14592.4,2893.6,9346.76,13287.24,12551.8,18568.44,31901.95,28270.41,25122.56,27450.87,27361.78,25249.0,16863.36,19865.17,22768.07,19262.34
SE,SWEDEN ,EUR,SE0000379190,CASTELLUM,485.78,473.97,444.79,602.09,1015.99,1540.09,1545.32,2293.68,1789.75,1321.38,1746.55,2342.35,2140.26,2440.45,2680.83,2682.86,2462.6,3756.11,4618.16,5033.63,6420.7,7045.86,7466.09,4189.12
SE,SWEDEN ,EUR,SE0000667891,SANDVIK,5909.89,6223.7,5536.62,5774.92,8916.95,10629.32,11030.24,17249.12,20419.42,7350.56,14354.9,23133.43,14613.74,19956.95,17714.48,12242.24,11017.87,15561.37,22015.96,17876.62,24475.27,30746.41,34997.11,22681.07
SE,SWEDEN ,EUR,SE0000806994,JM,614.13,728.92,634.49,564.48,413.46,808.76,1086.12,2238.8,1822.81,453.5,1436.74,1953.91,1364.69,1491.6,2255.51,2451.83,2253.26,2116.49,1622.12,1357.78,2062.0,2462.18,3147.84,1127.77
SE,SWEDEN ,EUR,SE0003366871,SAS,627.18,672.46,1048.98,932.63,1554.63,1485.24,2159.96,2800.57,2112.51,788.39,1392.71,1101.1,383.94,397.0,845.22,638.82,952.2,506.86,995.3,897.57,624.08,1614.66,1023.64,320.36
SE,SWEDEN ,EUR,SE0005190238,TELE2 B,6002.65,4769.04,4225.25,3324.44,6706.81,5186.07,4253.65,5930.79,8144.76,3548.32,6408.95,8777.47,8276.68,7627.56,4824.92,5161.26,4311.83,3877.46,5936.69,8482.14,9662.95,8830.49,9522.12,5474.33
SE,SWEDEN ,EUR,SE0006993770,AXFOOD,190.51,301.81,596.24,989.64,1231.73,1814.05,1520.44,2257.39,2114.72,1111.32,1539.48,1962.81,1940.94,1975.97,2636.22,3126.66,3654.43,3308.17,4052.6,3591.01,4672.25,4901.4,6036.15,5949.93
SE,SWEDEN ,EUR,SE0007100581,ASSA ABLOY B,4139.31,6516.83,4816.25,3942.3,4120.27,5922.2,5446.03,7550.0,6960.93,3880.47,6691.96,9773.81,8788.84,13131.13,18606.52,18634.92,22275.87,19638.57,21957.99,18820.06,24682.77,26014.62,32185.78,22651.16
SE,SWEDEN ,EUR,SE0007100599,SVENSKA HANDELSBANKEN A,8140.51,11124.63,9541.96,8652.73,13278.53,16920.23,16088.26,19268.48,19746.57,9746.67,17494.63,19554.02,16166.77,22186.57,30696.51,29218.78,25066.46,26601.76,26159.61,21165.14,20962.26,19560.04,21020.49,19616.63
SE,SWEDEN ,EUR,SE0011090018,HOLMEN B,2380.24,1965.56,1303.92,1392.04,2036.43,2150.46,2049.35,2705.78,2307.21,1520.33,1592.46,2046.2,1791.85,1837.59,2262.78,2112.05,1927.98,2235.1,3308.71,2452.0,3785.98,5620.13,5630.27,4658.21
SE,SWEDEN ,EUR,SE0011166974,FABEGE,336.02,429.87,422.52,551.64,802.49,1908.15,1830.43,2697.53,1829.21,642.3,1071.88,1932.44,1300.39,1671.6,1977.72,2125.44,2748.48,2710.82,3527.02,4408.52,5501.85,5209.9,5536.9,2815.91
SE,SWEDEN ,EUR,SE0015810247,KINNEVIK B,473.73,327.0,221.17,119.11,429.37,2276.06,1994.52,3592.77,4862.37,1715.35,3174.25,4656.3,4470.14,4769.58,10918.55,7677.01,7315.56,5630.37,7935.78,5830.95,5917.91,12239.01,8632.26,3335.31
SE,SWEDEN ,EUR,SE0015811955,INVESTOR A,5518.36,5863.52,4234.27,2347.53,3736.28,4954.21,5424.22,7561.12,6884.2,4434.15,5753.56,6444.46,5601.53,7943.85,10438.89,11200.32,11335.43,11555.51,13990.44,13289.09,16864.78,22676.8,32856.57,23195.38
SE,SWEDEN ,EUR,SE0015812219,SWEDISH MATCH DEAD - DELIST.02/01/23,1490.75,1575.45,1966.08,2842.69,3591.57,3900.14,3813.46,5622.73,6382.54,3603.48,5515.61,6689.99,7590.58,6909.47,6501.03,6269.93,6997.05,6021.13,7176.54,6928.16,8765.27,12596.66,12568.35,16619.16
SE,SWEDEN ,EUR,SE0015961909,HEXAGON B,219.99,177.71,175.83,276.23,475.11,830.69,1985.32,3609.96,5315.39,1215.92,3757.6,7255.79,5077.6,8481.02,10738.5,10561.35,12866.95,12350.28,17298.91,15976.71,19671.75,32119.0,41176.48,27149.01
SE,SWEDEN ,EUR,SE0015988019,NIBE INDUSTRIER,69.83,71.58,90.24,144.28,352.77,553.82,616.46,1357.21,974.64,453.43,780.44,1234.31,1437.93,1400.65,2194.3,2494.33,3279.9,3516.13,4276.66,4568.47,7728.5,14629.6,26929.68,16615.26
SE,SWEDEN ,EUR,SE0016589188,ELECTROLUX B,8916.24,4623.97,5313.72,5345.01,6896.85,6848.15,7768.94,5994.49,5026.45,2527.34,7024.08,8519.13,4811.97,7881.18,7889.76,8789.54,7319.69,7491.19,9707.79,6346.39,7385.66,7006.83,7290.8,3714.02
SE,SWEDEN ,EUR,SE0017486889,ATLAS COPCO A,4118.51,3061.74,3127.48,2729.47,5006.63,6315.63,9334.11,14106.45,12532.77,7085.18,12379.15,21188.27,18121.72,23005.94,23302.76,23418.3,20749.39,25640.24,36313.2,19929.54,33500.41,43039.88,58018.9,39667.59
SE,SWEDEN ,EUR,SE0018012494,MODERN TIMES GROUP MTG B,2201.82,1214.58,1119.36,411.27,1070.25,1384.46,2117.23,3386.47,3648.76,1082.4,2889.34,3952.03,2921.08,2121.4,3204.26,1963.34,1587.85,1835.97,2601.53,2195.77,800.33,1198.62,1124.1,1087.43
SE,SWEDEN ,EUR,SE0020050417,BOLIDEN ORD SHS,229.46,122.08,282.91,141.82,457.96,550.09,2363.5,7444.76,3638.83,615.64,3528.02,5561.49,4009.71,5133.5,4192.57,4384.86,4636.06,7162.46,9373.73,5922.56,7260.69,9704.74,10573.3,10270.25
