ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
US64110D1046,NETAPP,,,,0,0,0,0,0,1.14,6.33,10.15,12.73,13.74,11.96,33.08,32.62,32.24,39.3,40.75,39.88,41.57,47.79,56.52,57.85
US6494451031,NEW YORK COMMUNITY BANCORP,,,,,,25.81,25.56,23.63,20.83,18.18,16.54,17.06,41.12,39.07,38.49,39.13,40.9,44.74,46.14,5.22,5.89,5.39,19.12,57.43
US6501111073,NEW YORK TIMES 'A',,,,0,0,0,0,0,19.55,15,13.95,15.7,16.07,23.54,25.11,25.48,32.12,24.95,28.27,30.98,28.35,29.77,0,46.19
US6512291062,NEWELL BRANDS (XSC),,,,0,0,0,0,0,0,24.22,49.34,45.44,36.5,26.62,25.87,20.58,25.38,31.45,32.61,36.43,42.12,53.79,58.08,59.67
US6516391066,NEWMONT,,,,,,,79.79,59.52,75.06,72.74,71.65,76.71,82.1,80.97,77.02,81.34,81.94,85.92,86.36,88.04,87.76,83.44,82.84,86.92
US65339F1012,NEXTERA ENERGY,,,,30.58,12.28,4.25,45.4,50.34,63.95,59.01,66.09,79.84,74.8,77.47,75.05,68.4,67.56,67.49,79.83,80.04,74.86,80,80.15,
US6541061031,NIKE 'B',,,,,,,5.02,70.99,72.56,79.03,85.5,81.46,87.58,75.91,73.35,80.91,86.05,70.53,71.33,72.48,75.42,84.53,88.07,84.37
US65473P1057,NISOURCE,,,,11.9,4.76,5.54,11.63,27.14,25.09,26.24,33.31,37.33,40.13,36.42,41.15,49.42,48.2,52.67,58.47,65.89,64.13,58.82,65.72,
US6556641008,NORDSTROM,,,,0,0,0,0,10.1,29.97,77.51,67.08,70.8,71.36,80.65,79.73,78.25,85,78.95,79.69,76.03,85.32,83.58,64.42,54.52
US6558441084,NORFOLK SOUTHERN,,,,,,,13.81,30.89,51.64,58.07,71.83,71.23,69.71,67.33,64.11,77.4,78.74,78.07,80.44,72.33,72.34,71.89,74,72.77
US6658591044,NORTHERN TRUST,,,,27.78,27.78,26.48,26.3,27.09,44.12,71.05,70.75,68.84,73.15,73.98,76.56,60.9,61.58,64.51,65.04,47.78,46.98,62.55,76.33,
US6668071029,NORTHROP GRUMMAN,,,,15.15,0,0,6.36,9.85,23.03,42.05,59.24,60.95,52.28,52.78,46.2,65.1,76.75,79.72,82.56,86.74,83.68,77.97,78.13,57.9
US6687711084,GEN DIGITAL,,,,0,0,0,0,12.17,46.64,66.6,78.69,82.24,79.52,81.04,78.08,74.5,77.49,74.35,71.45,72.63,76.34,74.99,76.27,76.72
US6703461052,NUCOR,,,,0,0,0,0,0.41,26.68,34.42,64.55,52.8,70.65,67.13,63.61,56.99,54,51.76,51.65,51.01,47.17,53.41,43.28,55.67
US67066G1040,NVIDIA,,,,0,0,0,0,0,25.21,53.27,55.52,62.63,58.72,61.45,65.55,69.17,71.6,71.28,72.02,72.38,73.5,70.39,69.88,67.5
US67098H1041,O I GLASS,,,,,,0,0,0,18.54,20.7,22.72,26.18,29.98,25.36,26.82,38.06,43.91,26,36.82,29.46,25.81,42.06,65.64,
US6745991058,OCCIDENTAL PTL.,,,,19.68,34.55,25.26,32.77,34.35,22.02,38.1,49.75,48.21,58.32,58.13,52.07,55.47,51.39,53.04,55.79,68.38,65.48,62.1,62.76,59.55
US6802231042,OLD REPUBLIC INTL.,,,,,,28.33,27.21,26.86,22.98,22.5,21.6,21.04,19.58,18.7,19.13,18.95,19.82,20.39,18.68,0,5,4.7,4.64,5.24
US6819191064,OMNICOM GROUP,,,,,,,0,0,4.34,10.72,44.37,46.31,43.71,31.43,18.33,25.03,38.32,37.9,35.06,45.86,53.45,50.74,53.38,58.22
US6826801036,ONEOK,,,,,,,,,12.41,22.86,17.48,43.85,44.77,44.82,47.78,52.24,60.13,60.8,60.94,72.22,72.79,73.62,70.35,67.97
US68389X1054,ORACLE,,,,0,0,0,44.5,41.1,47.02,81.37,75.49,74.54,78.75,75.88,75.51,75.88,77.26,80.81,78.91,77.95,78.22,77.88,77.39,77.79
US6882392011,OSHKOSH,,,,,,0,0,0,0,8.66,30.32,29.06,31.84,32.35,51.76,51.86,61.86,64.09,65.09,70.07,76,76.71,74.81,78.17
US69047Q1022,OVINTIV (NYS),,,,0,7.08,5.76,23.19,25.1,39.44,51.76,52.44,53.28,57.53,49.51,48.62,46.29,42.38,43.98,38.8,38.42,37.95,38.58,37.37,35.62
US69331C1080,PG&E,,,,,,,59.17,55.7,90.8,94.73,90.54,91.86,94.6,93.1,92.43,89.61,89.99,85.38,80.93,83.07,83.53,82.5,86.15,83.48
US6934751057,PNC FINL.SVS.GP.,,,,27.08,43.17,47.45,25.56,25.49,31.82,64.01,79.97,75.11,73.39,71.22,71.99,73.25,76.84,80.33,81.81,59.6,58.81,57.14,71.05,66.96
US6935061076,PPG INDUSTRIES,,,,28.61,17.9,25.95,42.07,36.86,75.1,64.66,75.94,80.91,76.03,82.32,79,84,77.94,74.33,79.65,83.1,83.19,83.79,82.15,84.46
US69351T1060,PPL,,,,47.69,45.54,27.46,25.74,45.07,69.34,58.21,58.74,58.72,62.01,53.49,34.31,38.74,40.84,41.93,37.17,44.13,35.3,34.23,37.09,
US6937181088,PACCAR,,,,0,0,0,0,0,31.57,37.12,42.63,42.13,61.25,57.89,58.35,61.21,75.28,76.73,78.88,78.23,84.7,84.33,82.83,
US7010941042,PARKER-HANNIFIN,,,,14.97,0,0,0,0,27.65,28.69,44.15,51.33,63.17,57.05,59.86,60.62,67.46,70.31,70.44,69.53,68.32,71.77,67.86,70.62
US7033951036,PATTERSON COMPANIES,,,,0,0,0,0,0,0,0,7.32,8.31,9.12,11.01,11.01,8.7,19.59,21.52,15.33,7.11,8.13,9.44,8.4,11.47
US7034811015,PATTERSON UTI ENERGY,,,,,,0,0,0,0,0,0,0,0,24.18,26.25,24.4,25.64,29.38,26.55,19.19,40.74,40.05,35.28,37.01
US7043261079,PAYCHEX,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72,36.65,53.39,67.42,66.26
US7045511000,PEABODY ENERGY,,,,,,47.56,47.56,47.56,37.8,43.9,53.89,70.13,67.93,71.49,77.46,79.79,81.6,81.31,84.27,75.61,67.47,64.81,63.42,66.24
US7127041058,PEOPLES UNITED FINANCIAL DEAD - DELIST.05/04/22,,,,,,25.81,25.56,23.63,18.32,18.18,16.54,17.06,16.67,15.26,15.25,15.45,18.28,21.15,22.22,0,6.5,9.87,,
US7134481081,PEPSICO,,,,3.7,29.4,46.33,69.88,83.68,75.24,81.65,88.1,85.59,87.76,71.18,78.1,69.28,66.71,67.82,71.24,77.37,83.6,83.61,84.24,76.57
US71363P1066,PERDOCEO EDUCATION,,,,,,0,0,0,0,0,0,0,6,6,4.8,0,0,0,0,24,9,15.43,13.5,12
US7140461093,REVVITY,,,,,,0,13.8,18.99,43.39,49.24,66.59,61.41,53.71,46.52,47.47,21.5,33.53,53.4,54.31,56.3,64.54,69.44,69.58,
US7170811035,PFIZER,,,,56.06,51.2,67.9,67.12,69.42,63.02,59.86,57.07,56.43,59.28,61.54,64.03,68.6,70.39,72.65,73.45,76.11,79.55,77.25,79.21,85.67
